latitude1,longitude1,latitude2,longitude2,pickup_possibility,fare_per_pickup
39.889351,116.33559,39.889064,116.335217,0.083333333,37.91697263
39.889351,116.33559,39.888181,116.336254,0.076923077,8
39.889351,116.33559,39.889791,116.335941,0.133333333,32.94370271
39.889064,116.335217,39.888723,116.334835,0.272727273,31.48838451
39.889064,116.335217,39.8846655,116.335791,0.075,21.60355474
39.888074,116.329506,39.888067,116.330776,0.333333333,8
39.888074,116.329506,39.886714,116.329491,0.090909091,37.61176807
39.888074,116.329506,39.88826433,116.3286983,0.0625,8
39.888067,116.330776,39.889311,116.330733,0.5,8
39.888067,116.330776,39.888072,116.331745,0.166666667,8
39.888067,116.330776,39.88751,116.330887,0.5,8
39.888296,116.358765,39.88739,116.35881,0.107142857,42.00016689
39.888296,116.358765,39.88932867,116.3587407,0.086956522,51.04346972
39.888296,116.358765,39.888719,116.355284,0.160714286,50.27831311
39.888296,116.358765,39.888369,116.360375,0.1,37.7067757
39.88739,116.35881,39.886246,116.358879,0.164705882,47.54618062
39.88739,116.35881,39.887377,116.35817,0.15625,44.07423933
39.886246,116.358879,39.8846425,116.358925,0.054054054,10.96784602
39.886246,116.358879,39.886172,116.356667,0.178082192,43.13553071
39.883001,116.346838,39.8822415,116.347004,0.076923077,8
39.883001,116.346838,39.885137,116.34676,0.066666667,27.41655541
39.883001,116.346838,39.88309,116.348045,0.333333333,8
39.883001,116.346838,39.882952,116.346027,0.096774194,41.63025701
39.8822415,116.347004,39.882596,116.347343,0.333333333,8
39.8822415,116.347004,39.880595,116.346836,0.066666667,22.57993992
39.881058,116.359127,39.880127,116.359173,0.142857143,8
39.881058,116.359127,39.881223,116.360291,0.086956522,8.060580775
39.881058,116.359127,39.880913,116.357132,0.133333333,8.728137515
39.881058,116.359127,39.8833035,116.359022,0.142857143,31.18671562
39.880127,116.359173,39.879313,116.35923,0.25,8
39.880127,116.359173,39.880163,116.361595,0,0
39.880127,116.359173,39.8800445,116.357237,0.222222222,40.50934579
39.879313,116.35923,39.878586,116.359238,0,0
39.879313,116.35923,39.879298,116.358192,0.076923077,42.77353138
39.878586,116.359238,39.878576,116.358212,0.083333333,36.6820761
39.878586,116.359238,39.878003,116.359356,0.086956522,27.00250334
39.879148,116.334328,39.877207,116.334354,0.2,8
39.879148,116.334328,39.879575,116.33432,0.25,8
39.879148,116.334328,39.879158,116.335178,0.2,36.6820761
39.877207,116.334354,39.877154,116.332184,0.25,7.97713618
39.877207,116.334354,39.877257,116.335056,0.25,42.66995994
39.877154,116.332184,39.878581,116.332172,0.166666667,8
39.877154,116.332184,39.877041,116.3305,0.043478261,64.0963507
39.875659,116.346783,39.875053,116.346848,0.133333333,25.58394526
39.875659,116.346783,39.875707,116.349072,0.166666667,14.31892524
39.875659,116.346783,39.875972,116.346764,0.083333333,8
39.875053,116.346848,39.8737105,116.346914,0.076923077,32.49866489
39.875053,116.346848,39.875051,116.34565,0.076923077,8.728137515
39.8737105,116.346914,39.873698,116.345609,0.111111111,26.75216956
39.8737105,116.346914,39.873713,116.348801,0,0
39.877566,116.348957,39.8773475,116.346972,0.111111111,26.37939475
39.877566,116.348957,39.87797,116.348934,0.024390244,19.4090454
39.877566,116.348957,39.87768567,116.3504207,0.25,8
39.8773475,116.346972,39.875972,116.346764,0.083333333,8
39.8773475,116.346972,39.877146,116.345947,0.115384615,19.87071651
39.8773475,116.346972,39.880282,116.3469795,0.125,23.56450267
39.888718,116.346066,39.8896405,116.3456107,0.071428571,34.28104139
39.888718,116.346066,39.888687,116.346729,0.214285714,30.60725412
39.888718,116.346066,39.887957,116.345886,0.161764706,39.2630412
39.8896405,116.3456107,39.8898965,116.3412343,0.265306122,32.58711616
39.8896405,116.3456107,39.8896255,116.3476715,0.142857143,8
39.8896405,116.3456107,39.889577,116.345211,0.081081081,40.40026702
39.8896405,116.3456107,39.88993025,116.346323,0.015625,36.6820761
39.8896405,116.3456107,39.889584,116.343527,0.2,42.04500873
39.911123,116.316788,39.9097685,116.3167765,0.03030303,64.37449932
39.911123,116.316788,39.911102,116.318966,0.166666667,8
39.911123,116.316788,39.911199,116.31448,0.041666667,37.83352804
39.9097685,116.3167765,39.908353,116.31675,0.01754386,59.75723187
39.9097685,116.3167765,39.909836,116.318966,0,0
39.908353,116.31675,39.908307,116.319981,0.043478261,25.41705608
39.908353,116.31675,39.90758767,116.3167653,0.25,50.76079217
39.904706,116.316773,39.90357,116.316761,0.104166667,32.29277926
39.904706,116.316773,39.905307,116.316769,0.096774194,47.61985982
39.904706,116.316773,39.904828,116.318855,0.2,8
39.90357,116.316761,39.900528,116.316765,0.080645161,57.63599951
39.90357,116.316761,39.903323,116.319119,0.5,8
39.900528,116.316765,39.900373,116.318518,0.038461538,44.6743992
39.900528,116.316765,39.897237,116.316742,0.102040816,54.9125852
39.897237,116.316742,39.897247,116.318966,0.023255814,76.91308412
39.885885,116.316902,39.885817,116.3181725,0,0
39.885885,116.316902,39.885078,116.317177,0,0
39.885885,116.316902,39.887249,116.316406,0.181818182,47.8158497
39.885078,116.317177,39.884148,116.31749,0.111111111,8
39.885078,116.317177,39.884758,116.315735,0.125,35.03813418
39.884148,116.31749,39.8841795,116.318195,0.125,8
39.884148,116.31749,39.883526,116.31748,0.25,36.6820761
39.883526,116.31748,39.88355,116.315956,0.111111111,24.24883178
39.883526,116.31748,39.88295,116.317516,0,0
39.88295,116.317516,39.882983,116.319553,0,0
39.88295,116.317516,39.882296,116.317551,0.066666667,60.63067425
39.882296,116.317551,39.88241233,116.3159803,0.095238095,24.24883178
39.882296,116.317551,39.882235,116.319061,0.09375,51.29033156
39.882296,116.317551,39.880379,116.317638,0.5,8
39.878049,116.3178917,39.879683,116.3177775,0,0
39.878049,116.3178917,39.877266,116.317867,0.25,8
39.878049,116.3178917,39.878047,116.319885,0,0
39.878049,116.3178917,39.878606,116.317936,0,0
39.877266,116.317867,39.876581,116.3181583,0,0
39.877266,116.317867,39.877291,116.316589,0.3,27.36123164
39.877266,116.317867,39.87724875,116.319998,0.166666667,8
39.875809,116.317936,39.876581,116.3181583,0,0
39.875809,116.317936,39.875178,116.317993,0.25,8
39.875809,116.317936,39.875821,116.317173,0.75,21.81775701
39.875178,116.317993,39.874331,116.31807,0.166666667,8
39.875178,116.317993,39.875188,116.319853,0.142857143,8
39.875178,116.317993,39.874881,116.315376,0.166666667,50.43207611
39.874331,116.31807,39.874364,116.320255,0.058823529,60.62750335
39.874331,116.31807,39.872409,116.318199,0.111111111,60.62750335
39.887249,116.316406,39.8880425,116.3162423,0.03030303,33.8894081
39.887249,116.316406,39.886602,116.314899,0.083333333,62.2952687
39.887249,116.316406,39.88933783,116.3211088,0.024390244,26.76880285
39.887249,116.316406,39.887617,116.316956,0.034482759,8
39.903989,116.363293,39.905299,116.363272,0.333333333,40.04480975
39.903989,116.363293,39.90346867,116.3634337,0.333333333,8
39.903989,116.363293,39.903964,116.363747,0,0
39.905299,116.363272,39.905987,116.3633592,0,0
39.905299,116.363272,39.905523,116.36293,0.5,8
39.905299,116.363272,39.90556,116.3636743,0,0
39.90346867,116.3634337,39.903247,116.362991,0.5,30.7741433
39.90346867,116.3634337,39.90208325,116.363248,0.2,8
39.90346867,116.3634337,39.903239,116.364777,0.2,8
39.90346867,116.3634337,39.903964,116.363747,0.333333333,41.10463952
39.900999,116.3632833,39.90208325,116.363248,0.142857143,14.31575434
39.900999,116.3632833,39.8994468,116.3633255,0.1,36.6820761
39.900999,116.3632833,39.900841,116.360924,0,0
39.90208325,116.363248,39.903036,116.363224,0.333333333,51.85781041
39.90208325,116.363248,39.902323,116.364391,0.5,36.51518692
39.90208325,116.363248,39.902042,116.3606927,0.045454545,8
39.879323,116.363892,39.878192,116.363934,0.2,8
39.879323,116.363892,39.8794025,116.3625925,0.333333333,8
39.879323,116.363892,39.880206,116.363842,0.2,8
39.878192,116.363934,39.876946,116.363983,0.125,27.15821095
39.878192,116.363934,39.878059,116.361649,0.055555556,8
39.878192,116.363934,39.878349,116.367748,0.087719298,14.9329773
39.876946,116.363983,39.876813,116.361727,0.285714286,9.562583445
39.876946,116.363983,39.876183,116.363998,0.25,8
39.875804,116.364021,39.874664,116.364082,0.5,8
39.875804,116.364021,39.876183,116.363998,0.052631579,8
39.875804,116.364021,39.875819,116.365406,0.117647059,9.562583445
39.874664,116.364082,39.874675,116.363083,0,0
39.874664,116.364082,39.87394,116.364113,0,0
39.873138,116.364147,39.872327,116.364193,0,0
39.873138,116.364147,39.873103,116.3629,0,0
39.873138,116.364147,39.873599,116.364128,0,0
39.872327,116.364193,39.8725342,116.3648446,0.5,8
39.872327,116.364193,39.871742,116.364182,0,0
39.89875,116.3633575,39.8986865,116.3610155,0.25,8
39.89875,116.3633575,39.8994468,116.3633255,0.16,44.14247568
39.89875,116.3633575,39.8979452,116.3633356,0.125,8
39.89875,116.3633575,39.898791,116.364906,0.2,8
39.8994468,116.3633255,39.8996075,116.3648545,0.333333333,8
39.8994468,116.3633255,39.89955067,116.360314,0.076923077,20.53615932
39.8994468,116.3633255,39.8991505,116.3609405,0.095238095,12.90036716
39.8994468,116.3633255,39.899531,116.3609935,0.285714286,17.40637517
39.8994468,116.3633255,39.899231,116.364895,0.125,17.82359813
39.905987,116.3633592,39.90556,116.3636743,0,0
39.905987,116.3633592,39.90653225,116.3658515,0.1,31.65862817
39.905987,116.3633592,39.9072348,116.3631674,0.214285714,25.23339452
39.9072348,116.3631674,39.90722,116.365505,0.074074074,27.54761905
39.9072348,116.3631674,39.907041,116.3609697,0.230769231,47.58815921
39.9072348,116.3631674,39.908623,116.36319,0.25,11.48180908
39.9072348,116.3631674,39.90728,116.359245,0.25,8
39.905329,116.346119,39.90630875,116.3462955,0.04,8
39.905329,116.346119,39.905319,116.347134,0.333333333,8
39.905329,116.346119,39.904841,116.346104,0.153846154,37.96368491
39.904841,116.346104,39.903882,116.346088,0,0
39.904841,116.346104,39.904851,116.344334,0.1,38.09633678
39.903882,116.346088,39.90363333,116.3482413,0.15,14.47463284
39.903882,116.346088,39.90447,116.344215,0.162162162,39.94186693
39.903882,116.346088,39.903097,116.346111,0.071428571,26.91905875
39.903107,116.349937,39.903109,116.348862,0.380952381,43.19602804
39.903107,116.349937,39.903107,116.351505,0.25,23.26412995
39.903107,116.349937,39.9025305,116.349941,0.117647059,35.20502337
39.903109,116.348862,39.903097,116.346111,0.033333333,8
39.903109,116.348862,39.902774,116.348831,0.142857143,43.95838896
39.901146,116.350029,39.90124,116.352757,0.2,46.59445928
39.901146,116.350029,39.900983,116.349464,0.25,41.83168034
39.901146,116.350029,39.9025305,116.349941,0.214285714,34.37057744
39.90124,116.352757,39.900253,116.352791,0.125,27.44467624
39.90124,116.352757,39.90151,116.356331,0,0
39.90124,116.352757,39.901675,116.352734,0.142857143,8
39.900983,116.349464,39.89999667,116.348305,0.181818182,20.99449266
39.900983,116.349464,39.900108,116.349903,0.3,37.68931909
39.900983,116.349464,39.901004,116.348812,0.2,26.76880285
39.909482,116.346287,39.912267,116.346336,0.102362205,33.52736983
39.909482,116.346287,39.9084675,116.346285,0.173913043,26.02611816
39.912267,116.346336,39.912903,116.346352,0.045454545,41.10463952
39.912267,116.346336,39.912275,116.346855,0.042553191,15.9043725
39.907261,116.3462295,39.907852,116.346249,0.2,10.1466956
39.907261,116.3462295,39.90630875,116.3462955,0.047619048,70.8348404
39.907261,116.3462295,39.90712233,116.349027,0.069767442,53.14561082
39.907261,116.3462295,39.90729375,116.3438113,0.042553191,41.36042501
39.90630875,116.3462955,39.905589,116.347126,0,0
39.90630875,116.3462955,39.906408,116.348206,0.25,17.13464619
39.90630875,116.3462955,39.90712233,116.349027,0.142857143,41.96648865
39.89999667,116.348305,39.899605,116.348335,0.5,8
39.89999667,116.348305,39.899915,116.346985,0.153846154,28.38206498
39.89999667,116.348305,39.901263,116.346046,0.032258065,8
39.900108,116.349903,39.900253,116.352791,0.259259259,38.49038718
39.900108,116.349903,39.89919267,116.3497557,0.1,40.53377837
